,County,Basin,GOM,DrillFor,Location,State/Province,Trajectory,Year,Month,US_PublishDate,Rig Count Value
UNITED STATES,WELD,DJ-Niobrara,No,Oil,Land,COLORADO,Horizontal,2020,1,10-01-2020,15
UNITED STATES,LARAMIE,DJ-Niobrara,No,Oil,Land,WYOMING,Horizontal,2020,1,10-01-2020,1
UNITED STATES,DIMMIT,Eagle Ford,No,Oil,Land,TEXAS,Directional,2020,1,10-01-2020,1
UNITED STATES,WEBB,Eagle Ford,No,Gas,Land,TEXAS,Horizontal,2020,1,10-01-2020,3
UNITED STATES,ATASCOSA,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,1,10-01-2020,4
UNITED STATES,DE WITT,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,1,10-01-2020,9
UNITED STATES,DIMMIT,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,1,10-01-2020,8
UNITED STATES,GONZALES,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,1,10-01-2020,6
UNITED STATES,KARNES,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,1,10-01-2020,19
UNITED STATES,LA SALLE,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,1,10-01-2020,8
UNITED STATES,LIVE OAK,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,1,10-01-2020,2
UNITED STATES,MCMULLEN,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,1,10-01-2020,3
UNITED STATES,WILSON,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,1,10-01-2020,1
UNITED STATES,ZAVALA,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,1,10-01-2020,3
UNITED STATES,WASHITA,Granite Wash,No,Oil,Land,OKLAHOMA,Horizontal,2020,1,10-01-2020,1
UNITED STATES,BIENVILLE,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,1,10-01-2020,1
UNITED STATES,BOSSIER,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,1,10-01-2020,4
UNITED STATES,CADDO,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,1,10-01-2020,6
UNITED STATES,DE SOTO,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,1,10-01-2020,10
